Section,Item,Details,Variable,Count,Mean,Median,Mode,Std,Variance,CV,Min,Q1,Q3,Max,Range,IQR,Skew,Kurt,Category,Percent,Avg_cnt,Std_cnt,Comparison,Group,N,Value,Dimension,Total_Records,Outliers_Count,Outliers_%,Lower_Bound,Upper_Bound,Min_cnt,Max_cnt
PLAN,Variables Selected - Dependent,"total_rentals, casual_users, registered_users",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAN,Variables Selected - Independent (Temporal),"hour, weekday, workingday, month, season, year, holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAN,Variables Selected - Independent (Environmental),"weather_situation, temp, feeling_temperature, humidity, windspeed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAN,Objective,"Understand hourly demand patterns, seasonal/weekday effects, weather impact, and user-type behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAN,Theoretical Framework,Demand Elasticity; Temporal Patterns; Weatherâ€“Demand; User Segmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAN,Type of Analysis,"count, mean, median, mode, std, variance, quartiles, IQR, range, skewness, kurtosis; frequency distributions; cross-tabulations; correlations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASIC_STATS,,,total_rentals,17379.0,189.46308763450142,142.0,5.0,181.38759909186473,32901.46110431105,0.9573769822741655,1.0,40.0,281.0,977.0,976.0,241.0,1.2774116037490577,1.4172032806553756,,,,,,,,,,,,,,,,
BASIC_STATS,,,casual_users,17379.0,34.19874561252086,17.0,0.0,43.34777180614768,1879.029320557852,1.2675251980668314,0.0,4.0,48.0,180.0,180.0,44.0,1.8316247268306312,2.9644722648478266,,,,,,,,,,,,,,,,
BASIC_STATS,,,registered_users,17379.0,153.6973358651246,115.0,4.0,150.96887462015812,22791.601104077025,0.9822478299340153,0.0,34.0,220.0,778.0,778.0,186.0,1.5381175933089242,2.617689005363332,,,,,,,,,,,,,,,,
BASIC_STATS,,,temp,17379.0,0.4969871684216583,0.5,0.62,0.1925561212497219,0.0370778598307376,0.387446866809953,0.02,0.34,0.66,1.0,0.98,0.32,-0.00602088334827027,-0.9418442040701822,,,,,,,,,,,,,,,,
BASIC_STATS,,,feeling_temperature,17379.0,0.4757751021347604,0.4848,0.6212,0.17185021563535943,0.029532496613919535,0.36120052281904386,0.0,0.3333,0.6212,1.0,1.0,0.2879,-0.09042885855903955,-0.8454118948352991,,,,,,,,,,,,,,,,
BASIC_STATS,,,humidity,17379.0,0.6272288394038783,0.63,0.88,0.19292983406291508,0.03722192087154395,0.3075908216310281,0.0,0.48,0.78,1.0,1.0,0.30000000000000004,-0.11128714936537845,-0.8261167359052539,,,,,,,,,,,,,,,,
BASIC_STATS,,,windspeed,17379.0,0.1900976063064618,0.194,0.0,0.12234022857279049,0.014967131527242624,0.643565329147608,0.0,0.1045,0.2537,0.8507,0.8507,0.1492,0.5749052034923136,0.5908204107371691,,,,,,,,,,,,,,,,
TABULATION,,,season,4242.0,,,,,,,,,,,,,,,1.0,24.41,111.11,119.22,,,,,,,,,,,,
TABULATION,,,season,4409.0,,,,,,,,,,,,,,,2.0,25.37,208.34,188.36,,,,,,,,,,,,
TABULATION,,,season,4496.0,,,,,,,,,,,,,,,3.0,25.87,236.02,197.71,,,,,,,,,,,,
TABULATION,,,season,4232.0,,,,,,,,,,,,,,,4.0,24.35,198.87,182.97,,,,,,,,,,,,
TABULATION,,,month,1429.0,,,,,,,,,,,,,,,1.0,8.22,94.42,99.91,,,,,,,,,,,,
TABULATION,,,month,1341.0,,,,,,,,,,,,,,,2.0,7.72,112.87,112.49,,,,,,,,,,,,
TABULATION,,,month,1473.0,,,,,,,,,,,,,,,3.0,8.48,155.41,163.54,,,,,,,,,,,,
TABULATION,,,month,1437.0,,,,,,,,,,,,,,,4.0,8.27,187.26,181.14,,,,,,,,,,,,
TABULATION,,,month,1488.0,,,,,,,,,,,,,,,5.0,8.56,222.91,187.72,,,,,,,,,,,,
TABULATION,,,month,1440.0,,,,,,,,,,,,,,,6.0,8.29,240.52,196.04,,,,,,,,,,,,
TABULATION,,,month,1488.0,,,,,,,,,,,,,,,7.0,8.56,231.82,187.48,,,,,,,,,,,,
TABULATION,,,month,1475.0,,,,,,,,,,,,,,,8.0,8.49,238.1,200.44,,,,,,,,,,,,
TABULATION,,,month,1437.0,,,,,,,,,,,,,,,9.0,8.27,240.77,214.61,,,,,,,,,,,,
TABULATION,,,month,1451.0,,,,,,,,,,,,,,,10.0,8.35,222.16,203.48,,,,,,,,,,,,
TABULATION,,,month,1437.0,,,,,,,,,,,,,,,11.0,8.27,177.34,158.97,,,,,,,,,,,,
TABULATION,,,month,1483.0,,,,,,,,,,,,,,,12.0,8.53,142.3,141.08,,,,,,,,,,,,
TABULATION,,,hour,726.0,,,,,,,,,,,,,,,0.0,4.18,53.9,42.31,,,,,,,,,,,,
TABULATION,,,hour,724.0,,,,,,,,,,,,,,,1.0,4.17,33.38,33.54,,,,,,,,,,,,
TABULATION,,,hour,715.0,,,,,,,,,,,,,,,2.0,4.11,22.87,26.58,,,,,,,,,,,,
TABULATION,,,hour,697.0,,,,,,,,,,,,,,,3.0,4.01,11.73,13.24,,,,,,,,,,,,
TABULATION,,,hour,697.0,,,,,,,,,,,,,,,4.0,4.01,6.35,4.14,,,,,,,,,,,,
TABULATION,,,hour,717.0,,,,,,,,,,,,,,,5.0,4.13,19.89,13.2,,,,,,,,,,,,
TABULATION,,,hour,725.0,,,,,,,,,,,,,,,6.0,4.17,76.04,55.08,,,,,,,,,,,,
TABULATION,,,hour,727.0,,,,,,,,,,,,,,,7.0,4.18,212.06,161.44,,,,,,,,,,,,
TABULATION,,,hour,727.0,,,,,,,,,,,,,,,8.0,4.18,359.01,235.19,,,,,,,,,,,,
TABULATION,,,hour,727.0,,,,,,,,,,,,,,,9.0,4.18,219.31,93.7,,,,,,,,,,,,
TABULATION,,,hour,727.0,,,,,,,,,,,,,,,10.0,4.18,173.67,102.21,,,,,,,,,,,,
TABULATION,,,hour,727.0,,,,,,,,,,,,,,,11.0,4.18,208.14,127.5,,,,,,,,,,,,
TABULATION,,,hour,728.0,,,,,,,,,,,,,,,12.0,4.19,253.32,145.08,,,,,,,,,,,,
TABULATION,,,hour,729.0,,,,,,,,,,,,,,,13.0,4.19,253.66,148.11,,,,,,,,,,,,
TABULATION,,,hour,729.0,,,,,,,,,,,,,,,14.0,4.19,240.95,147.27,,,,,,,,,,,,
TABULATION,,,hour,729.0,,,,,,,,,,,,,,,15.0,4.19,251.23,144.63,,,,,,,,,,,,
TABULATION,,,hour,730.0,,,,,,,,,,,,,,,16.0,4.2,311.98,148.68,,,,,,,,,,,,
TABULATION,,,hour,730.0,,,,,,,,,,,,,,,17.0,4.2,461.45,232.66,,,,,,,,,,,,
TABULATION,,,hour,728.0,,,,,,,,,,,,,,,18.0,4.19,425.51,224.64,,,,,,,,,,,,
TABULATION,,,hour,728.0,,,,,,,,,,,,,,,19.0,4.19,311.52,161.05,,,,,,,,,,,,
TABULATION,,,hour,728.0,,,,,,,,,,,,,,,20.0,4.19,226.03,119.67,,,,,,,,,,,,
TABULATION,,,hour,728.0,,,,,,,,,,,,,,,21.0,4.19,172.31,89.79,,,,,,,,,,,,
TABULATION,,,hour,728.0,,,,,,,,,,,,,,,22.0,4.19,131.34,69.94,,,,,,,,,,,,
TABULATION,,,hour,728.0,,,,,,,,,,,,,,,23.0,4.19,87.83,50.85,,,,,,,,,,,,
TABULATION,,,weekday,2502.0,,,,,,,,,,,,,,,0.0,14.4,177.47,168.17,,,,,,,,,,,,
TABULATION,,,weekday,2479.0,,,,,,,,,,,,,,,1.0,14.26,183.74,179.51,,,,,,,,,,,,
TABULATION,,,weekday,2453.0,,,,,,,,,,,,,,,2.0,14.11,191.24,187.82,,,,,,,,,,,,
TABULATION,,,weekday,2475.0,,,,,,,,,,,,,,,3.0,14.24,191.13,190.89,,,,,,,,,,,,
TABULATION,,,weekday,2471.0,,,,,,,,,,,,,,,4.0,14.22,196.44,188.01,,,,,,,,,,,,
TABULATION,,,weekday,2487.0,,,,,,,,,,,,,,,5.0,14.31,196.14,174.08,,,,,,,,,,,,
TABULATION,,,weekday,2512.0,,,,,,,,,,,,,,,6.0,14.45,190.21,179.82,,,,,,,,,,,,
TABULATION,,,holiday,16879.0,,,,,,,,,,,,,,,0.0,97.12,190.43,181.98,,,,,,,,,,,,
TABULATION,,,holiday,500.0,,,,,,,,,,,,,,,1.0,2.88,156.87,156.76,,,,,,,,,,,,
TABULATION,,,workingday,5514.0,,,,,,,,,,,,,,,0.0,31.73,181.41,172.85,,,,,,,,,,,,
TABULATION,,,workingday,11865.0,,,,,,,,,,,,,,,1.0,68.27,193.21,185.11,,,,,,,,,,,,
TABULATION,,,weather_situation,11413.0,,,,,,,,,,,,,,,1.0,65.67,204.87,189.49,,,,,,,,,,,,
TABULATION,,,weather_situation,4544.0,,,,,,,,,,,,,,,2.0,26.15,175.17,165.43,,,,,,,,,,,,
TABULATION,,,weather_situation,1419.0,,,,,,,,,,,,,,,3.0,8.17,111.58,133.78,,,,,,,,,,,,
TABULATION,,,weather_situation,3.0,,,,,,,,,,,,,,,4.0,0.02,74.33,77.93,,,,,,,,,,,,
TABULATION,,,year,8645.0,,,,,,,,,,,,,,,0.0,49.74,143.79,133.8,,,,,,,,,,,,
TABULATION,,,year,8734.0,,,,,,,,,,,,,,,1.0,50.26,234.67,208.91,,,,,,,,,,,,
COMPARISON,,,,,143.79444765760556,109.0,,133.79785413838658,,,,,,,,,,,,,,,Year,0,8645.0,,,,,,,,,
COMPARISON,,,,,234.6663613464621,191.0,,208.91094098639903,,,,,,,,,,,,,,,Year,1,8734.0,,,,,,,,,
COMPARISON,,,,,,,,,,,,,,,,,,,,,,,User Type Share,Casual_%,,18.05,,,,,,,,
COMPARISON,,,,,,,,,,,,,,,,,,,,,,,User Type Share,Registered_%,,81.12,,,,,,,,
COMPARISON,,,,,181.40533188248097,119.0,,172.85383171939424,,,,,,,,,,,,,,,Workingday,0,5514.0,,,,,,,,,
COMPARISON,,,,,193.20775389801938,151.0,,185.10747659123103,,,,,,,,,,,,,,,Workingday,1,11865.0,,,,,,,,,
COMPARISON,,,,,190.4285798921737,144.0,,181.9814349383655,,,,,,,,,,,,,,,Holiday,0,16879.0,,,,,,,,,
COMPARISON,,,,,156.87,97.0,,156.7574780156521,,,,,,,,,,,,,,,Holiday,1,500.0,,,,,,,,,
DISTRIBUTION,,,,726.0,53.9,40.0,,42.31,,,,,,,,,,,0.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,724.0,33.38,20.0,,33.54,,,,,,,,,,,1.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,715.0,22.87,11.0,,26.58,,,,,,,,,,,2.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,697.0,11.73,6.0,,13.24,,,,,,,,,,,3.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,697.0,6.35,6.0,,4.14,,,,,,,,,,,4.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,717.0,19.89,19.0,,13.2,,,,,,,,,,,5.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,725.0,76.04,76.0,,55.08,,,,,,,,,,,6.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,727.0,212.06,208.0,,161.44,,,,,,,,,,,7.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,727.0,359.01,385.0,,235.19,,,,,,,,,,,8.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,727.0,219.31,216.0,,93.7,,,,,,,,,,,9.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,727.0,173.67,147.0,,102.21,,,,,,,,,,,10.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,727.0,208.14,180.0,,127.5,,,,,,,,,,,11.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,728.0,253.32,229.0,,145.08,,,,,,,,,,,12.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,729.0,253.66,224.0,,148.11,,,,,,,,,,,13.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,729.0,240.95,212.0,,147.27,,,,,,,,,,,14.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,729.0,251.23,227.0,,144.63,,,,,,,,,,,15.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,730.0,311.98,304.5,,148.68,,,,,,,,,,,16.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,730.0,461.45,475.0,,232.66,,,,,,,,,,,17.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,728.0,425.51,418.5,,224.64,,,,,,,,,,,18.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,728.0,311.52,309.5,,161.05,,,,,,,,,,,19.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,728.0,226.03,223.5,,119.67,,,,,,,,,,,20.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,728.0,172.31,173.5,,89.79,,,,,,,,,,,21.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,728.0,131.34,129.0,,69.94,,,,,,,,,,,22.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,728.0,87.83,80.0,,50.85,,,,,,,,,,,23.0,,,,,,,,hour,,,,,,,
DISTRIBUTION,,,,2502.0,177.47,116.0,,168.17,,,,,,,,,,,0.0,,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2479.0,183.74,139.0,,179.51,,,,,,,,,,,1.0,,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2453.0,191.24,147.0,,187.82,,,,,,,,,,,2.0,,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2475.0,191.13,143.0,,190.89,,,,,,,,,,,3.0,,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2471.0,196.44,154.0,,188.01,,,,,,,,,,,4.0,,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2487.0,196.14,165.0,,174.08,,,,,,,,,,,5.0,,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,2512.0,190.21,129.0,,179.82,,,,,,,,,,,6.0,,,,,,,,weekday,,,,,,,
DISTRIBUTION,,,,1429.0,94.42,66.0,,99.91,,,,,,,,,,,1.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1341.0,112.87,82.0,,112.49,,,,,,,,,,,2.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1473.0,155.41,104.0,,163.54,,,,,,,,,,,3.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1437.0,187.26,136.0,,181.14,,,,,,,,,,,4.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1488.0,222.91,188.5,,187.72,,,,,,,,,,,5.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1440.0,240.52,203.0,,196.04,,,,,,,,,,,6.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1488.0,231.82,202.0,,187.48,,,,,,,,,,,7.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1475.0,238.1,204.0,,200.44,,,,,,,,,,,8.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1437.0,240.77,190.0,,214.61,,,,,,,,,,,9.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1451.0,222.16,174.0,,203.48,,,,,,,,,,,10.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1437.0,177.34,145.0,,158.97,,,,,,,,,,,11.0,,,,,,,,month,,,,,,,
DISTRIBUTION,,,,1483.0,142.3,106.0,,141.08,,,,,,,,,,,12.0,,,,,,,,month,,,,,,,
OUTLIERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,17379.0,505.0,2.91,-321.5,642.5,1.0,977.0
